N: 1, digits: 1.000000, Nlog(N): 0.000000
N: 10, digits: 7.000000, Nlog(N): 10.000000
N: 100, digits: 158.000000, Nlog(N): 200.000000
N: 1000, digits: 2568.000000, Nlog(N): 3000.000000
N: 10000, digits: 35660.000000, Nlog(N): 40000.000000
N: 100000, digits: 456574.000000, Nlog(N): 500000.000000
N: 1000000, digits: 5565709.000000, Nlog(N): 6000000.000000
N: 10000000, digits: 65657060.000000, Nlog(N): 70000000.000000
N: 100000000, digits: 756570557.000000, Nlog(N): 800000000.000000
N: 1000000000, digits: 8565705523.000000, Nlog(N): 9000000000.000000
