N: 1	H_n: 1.000000	digits: 1.000000	lg(N): -inf
N: 10	H_n: 2.888128	digits: 2.000000	lg(N): 1.000000
N: 100	H_n: 5.183214	digits: 3.000000	lg(N): 2.000000
N: 1000	H_n: 7.485049	digits: 3.000000	lg(N): 2.000000
N: 10000	H_n: 9.787559	digits: 4.000000	lg(N): 2.000000
N: 100000	H_n: 12.090136	digits: 4.000000	lg(N): 2.000000
N: 1000000	H_n: 14.392721	digits: 4.000000	lg(N): 2.000000
N: 10000000	H_n: 16.695306	digits: 5.000000	lg(N): 3.000000
N: 100000000	H_n: 18.997891	digits: 5.000000	lg(N): 3.000000
N: 1000000000	H_n: 21.300476	digits: 5.000000	lg(N): 3.000000
